Tree no.,Address,Total species,Year planted,Year lost,Longevity (years),Species,Cultivar,Nativity,Genus,Family,Total species,Common name,,Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-3),Trk (0-4),Trk (0-4),Trk (0-4),Trk damage cause,,CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),,Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),,Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cause of loss,Comment,Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk height (in.),in./year,Date planted, Cause of loss
090000,,,,,,,,,,,,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,Davey,7/15/2012,9/18/2012,10/14/2013,10/2/2015,9/23/2016,10/20/2017,11/19/2018,9/16/2019,9/22/2020,9/28/2021,9/7/2022,9/8/2023,9/19/2024,9/22/2020,,,
091905,1204,Maackia serrata,2012,,,Maackia serrata,,E,Maackia,Fabaceae,Maackia serrata,Amur maackia,,0,0,0,0,1,0,0,0,,0,2,0,M,,0,0,5,2,0,0,0,,0,0,5,,0,0,0,0,0,,0,0,0,,1,2,2,2,2,2,2,2,,1,2,1,,,,2.50,2.50,2.40,2.64,,3.22,3.62,4.11,4.38,4.64,4.96,5.55,5.92,46,0.28,5/17/2012,
091906,1204,Syringa reticulata,2012,2018,6,,,,,,Syringa reticulata,Japanese tree lilac,,0,0,0,0,1,0,,,,,,,,,0,0,30,1,0,,,,,,,,0,0,0,,,,,,,,1,2,2,2,2,2,5,6,6,6,6,6,Died,,,1.50,1.50,1.54,1.81,,2.10,2.21,,,,,,,,,5/17/2012,Died
091907,1204,Syringa reticulata,2012,,,Syringa reticulata,,E,Syringa,Oleaceae,Syringa reticulata,Japanese tree lilac,,0,0,0,1,1,0,1,1,2,1,1,0,M,,0,1,30,5,0,20,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,3,3,2,2,2,3,,,,1.35,1.35,1.42,1.57,,1.96,2.04,2.14,2.13,2.35,2.57,2.75,2.87,49,0.12,5/17/2012,
092000,12th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092001,Food Finders,Malus ‘Adirondack',2020,,,Malus ‘Adirondack',Adirondack,E,Malus,Rosaceae,Malus ‘Adirondack',Serviceberry,,,,,,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,1,1,1,2,2,2,,,,,,,,,,,1.45,1.19,1.20,1.34,1.37,1.40,36,0.01,5/5/2020,
092002,Food Finders,Amelanchier x grandiflora,2020,,,Amelanchier x grandiflora,Autumn Brilliance,E,Amelanchier,Rosaceae,Amelanchier x grandiflora,Serviceberry,,,,,,,,,0,0,0,1,3,M,,,,,,,,99,0,0,20,100,,,,,,0,0,0,0,0,,,,,,,,1,4,3,3,3,4,,Top broken off,,,,,,,,,1.29,1.23,1.40,1.45,1.45,1.50,45,0.05,5/5/2020,
092003,Food Finders,Malus ‘Adirondack',2020,,,Malus ‘Adirondack',Adirondack,E,Malus,Rosaceae,Malus ‘Adirondack',Crabapple,,,,,,,,,0,0,0,0,3,,,,,,,,,0,0,0,0,20,,,,,,1,1,0,0,0,,,,,,,,1,2,2,2,2,3,,,,,,,,,,,1.53,1.31,1.30,1.37,1.50,1.47,39,0.01,5/5/2020,
092004,Food Finders,Amelanchier x grandiflora,2020,,,Amelanchier x grandiflora,,E,Amelanchier,Rosaceae,Amelanchier x grandiflora,Crabapple,,,,,,,,,0,0,0,0,2,,,,,,,,,50,20,20,0,50,,,,,,0,1,0,0,0,,,,,,,,1,2,3,3,2,2,,,,,,,,,,,1.26,1.27,1.33,1.36,1.56,1.52,,0.06,5/5/2020,
092005,Food Finders,Malus 'Adirondack',2020,2021,1,,,,,,Malus 'Adirondack',Crabapple,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,6,6,6,6,Human,,,,,,,,,,1.45,1.12,,,,,40,,5/5/2020,Unknown
092005.1,Food Finders,Malus ‘Adirondack',2022,,,Malus ‘Adirondack',Adirondack,E,Malus,Rosaceae,Malus ‘Adirondack',Crabapple,,,,,,,,,,,0,3,3,M,,,,,,,,,,0,0,0,,,,,,,,3,0,0,,,,,,,,,,,,3,2,,,,,,,,,,,,,,1.45,1.54,1.65,30,0.10,,
,,Ave year to lost,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trunk diameter is measured at 54 in. above ground unless otherwise noted.,,,,,,,,,,,,,,,,,
,,No. lost by year 3,,,5,,,No.,,,,,Trunk damage,,,,,,,,,,,,,,CD = percent defoliation,,,,,,,,,,,,Chlorosis,,,,,,,,,,Condition,,,,,,,,,,,59 min,,,,Data for trees planted in May 2020 are entered in fall 2019 column.,,,,,,,,,,,,,,,,,
,,,"X denotes an existing tree, data not included in analyses",,,,Native,24,,,,,0,no damage,,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,1,Excellent,,,,,,,,,,,,,,Data for trees planted spring 2021 are entered for columns for fall 2020.,,,,,,,,,,,,,,,,,
,,,,,,,Exotic,42,,,,,1,minor damage,,,,,,,,,,,,,,,,,,,,,,,,,1,Mild,,,,,,,,,2,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,damage around <25% of trunk,,,,,,,,,,,,,,,,,,,,,,,,,2,Moderate,,,,,,,,,3,Fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,damage around 25-50% of trunk,,,,,,,,,,,,,,,,,,,,,,,,,3,Severe,,,,,,,,,4,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,damage around >50% of trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Trunk damage,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,,,CD (%),Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,,Chlorosis,Count,Count,Count,Count,Count,Count,Count,Count,,Condition,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,53,52,50,50,45,54,44,50,52,51,48,49,,<11,61,56,55,54,61,54,60,65,65,65,56,0,53,49,59,60,65,59,68,67,66,1,60,40,36,29,27,42,34,28,44,47,48,45,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,6,7,7,7,12,3,14,16,8,9,10,4,,>10,1,5,8,9,4,7,9,2,4,2,11,1,9,10,2,1,3,4,0,0,0,2,0,17,19,22,29,16,25,30,15,12,12,14,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,2,1,4,3,3,5,1,1,4,4,5,8,,TOTAL,62,61,63,63,65,61,69,67,69,67,67,2,1,4,2,1,1,0,0,0,0,3,2,4,8,8,7,2,6,6,6,7,6,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,1,1,2,2,3,1,1,1,4,3,1,4,,,,,,,,,,,,,,3,0,0,1,0,0,1,1,0,0,4,0,0,0,4,0,5,3,5,1,2,1,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,0,0,0,1,0,2,2,1,0,2,2,2,,,,,,,,,,,,,,TOTAL,63,63,64,62,69,64,69,67,66,5,1,2,0,0,0,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL,62,61,63,63,63,65,62,69,68,69,66,67,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,2,2,2,2,3,4,7,9,11,11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,M,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,TOTAL,63,63,65,65,65,67,72,74,74,77,78,78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,No. Exc & Good,60,57,55,51,56,58,59,58,59,59,60,59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,No. Fair & Poor,2,4,8,12,7,7,9,11,7,9,7,7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,E,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,No. lost,1,2,2,2,2,2,4,5,8,9,11,12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. alive,62,61,63,63,63,65,68,69,66,68,67,66,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loss %,1.6,3.2,3.1,3.1,3.1,3.0,5.6,6.8,10.8,11.7,14.1,15.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no. fair&poor,2,4,8,12,7,7,9,11,7,9,7,7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ave. cond,1.1,1.4,1.6,1.8,1.7,1.5,1.7,1.8,1.5,1.5,1.4,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Year planted,Count,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,65,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,61,61,61,61,62,61,61,59,60,58,57,,,,,,,,,,,,,,,,,,,,
,,2015,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
,,2020,7,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,4,4,4,,,,,,,,,,,,,,,,,,,,
,,2021,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,2022,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,
,,TOTAL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Family,Count,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aceraceae,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fabaceae,11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fagaceae,11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ginkgoaceae,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magnoliaceae,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oleaceae,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Platanaceae,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rosaceae,6,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiliaceae,8,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ulmaceae,10,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,66,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Genus,Count,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acer,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amelanchier,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crataegus,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ginkgo,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gleditsia,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gymnocladus,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liriodendron,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maackia,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malus,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Platanus,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercus,11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Syringa,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilia,8,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ulmus,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zelkova,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,66,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Average trunk condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Species,Count,Freq,,,,,,,,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acer glabrum,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Acer truncatum x platanoides,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amelanchier x grandiflora,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crataegus crus-gali var. inermis,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ginkgo biloba,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gleditsia triacanthos var. inermis,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gymnocladus dioicus,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liriodendron tulipifera,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maackia serrata,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malus ‘Adirondack',3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Platanus x acerifolia,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercus imbricaria,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercus rubra,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercus shumardii,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Syringa reticulata,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilia americana,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilia cordata,4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilia sp.,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilia tomentosa,3,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ulmus 'Frontier',5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zelkova serrata,5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,66,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Average trunk condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average condition,,,,,,,,,,,,,,,Average trunk diameter,,,,,,,,,,,,,,,,
,,Species,Yr planted,Count,Total,Loss (%),,,,,,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,in./year,,,
,,Acer glabrum,2012,2,3,33,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.5,2.0,1.0,1.5,1.5,1.5,1.5,1.0,1.5,,,,2.10,2.10,2.03,2.62,3.01,3.39,3.53,3.94,4.24,4.86,5.18,5.72,6.29,0.31,,,
,,Acer truncatum x platanoides,2012,3,3,0,,,,,,,,0.0,0.3,0.3,1.0,0.3,0.0,0.0,0.3,0.0,0.7,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3,1.3,2.3,1.7,1.0,1.0,1.7,1.0,1.0,1.0,1.3,,,,1.65,1.63,1.65,2.56,3.22,3.96,4.50,5.01,5.44,6.11,6.49,7.04,7.63,0.48,,,
,,Amelanchier x grandiflora,2020,2,2,0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.5,3.0,,,,,,,,,,,1.28,1.25,1.37,1.41,1.51,1.51,0.06,,,
,,Crataegus crus-gali var. inermis,2012,1,1,0,,,,,,,,1.0,0.0,2.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,,,,2.00,2.00,2.01,2.64,,2.82,4.36,3.43,2.96,3.23,3.25,3.35,3.44,0.13,,,
,,Ginkgo biloba,2012,4,5,20,,,,,,,,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.8,0.3,0.8,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.5,1.5,1.8,1.3,1.5,1.8,1.0,1.3,1.0,1.0,,,,1.60,1.55,1.63,2.18,2.55,3.10,3.70,4.32,4.84,5.47,6.00,7.15,7.35,0.46,,,
,,Gleditsia triacanthos var. inermis,2012,5,5,0,,,,,,,,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.4,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.6,1.6,1.8,1.4,1.2,1.6,1.6,1.2,1.4,1.2,1.4,,,,1.85,1.84,1.87,2.72,3.36,4.24,5.21,5.99,6.73,7.59,8.24,9.02,9.92,0.64,,,
,,Gymnocladus dioicus,2012,4,4,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.8,1.3,1.0,1.0,,,,1.74,1.66,1.77,2.51,3.44,4.27,5.12,5.96,6.61,7.28,7.80,8.28,8.92,0.61,,,
,,Liriodendron tulipifera,2012,2,3,33,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.40,1.42,1.54,2.60,3.09,3.78,4.48,5.19,5.78,6.47,6.95,7.59,8.29,0.55,,,
,,Maackia serrata,2012,2,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,1.5,2.5,2.0,1.5,2.5,2.5,1.0,1.0,1.5,1.0,,,,2.75,2.75,2.60,2.93,3.62,3.61,3.99,4.42,4.74,4.99,5.41,5.91,6.26,0.27,,,
